[153522]: 209ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:3126 [0x7f8f5b82aa00]CSpxAudioStreamSession::StartAudioPump: Starting pump[0x6000006a0208]...
[153522]: 209ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:131 Created 'CSpxBufferData' as '705421989'
[153522]: 209ms SPX_TRACE_VERBOSE:  buffer_data.cpp:118 [0x600000fac300]CSpxBufferData::EnsureInitRingBuffer - Init
[153522]: 209ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:131 Created 'CSpxBlockingReadWriteRingBuffer' as '956428994'
[153522]: 209ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:478 ISpxNamedProperties::GetStringValue: this=0x0x007f8f5b82aa90; name='AudioConfig_NumberOfChannelsForCapture'; value='1'
[153522]: 209ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:478 ISpxNamedProperties::GetStringValue: this=0x0x007f8f5b82aa90; name='AudioConfig_SampleRateForCapture'; value='16000'
[153522]: 209ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:478 ISpxNamedProperties::GetStringValue: this=0x0x007f8f5b82aa90; name='AudioConfig_BitsPerSampleForCapture'; value='16'
[153522]: 209ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:131 Created 'CSpxAudioProcessorWriteToAudioSourceBuffer' as '354155511'
[153522]: 209ms SPX_DBG_TRACE_SCOPE_ENTER:  microphone_pump_base.cpp:113 MicrophonePumpBase::StartPump() ...
[153522]: 209ms SPX_DBG_TRACE_VERBOSE:  microphone_pump_base.cpp:125 StartPump starting audio input
[153522]: 209ms SPX_DBG_TRACE_VERBOSE:  audio_sys.cpp:595 Starting AudioQueue
[153522]: 209ms SPX_DBG_TRACE_SCOPE_ENTER:  microphone_pump_base.cpp:179 MicrophonePumpBase::UpdateState() ...
[153522]: 209ms SPX_DBG_TRACE_VERBOSE:  microphone_pump_base.cpp:183 UpdateState: UpdateState with state as 0.
[153522]: 209ms SPX_DBG_TRACE_SCOPE_EXIT:  microphone_pump_base.cpp:179 MicrophonePumpBase::UpdateState ... Done!
[153522]: 348ms SPX_DBG_TRACE_VERBOSE:  microphone_pump_base.cpp:128 StartPump audio input started!
[153522]: 348ms SPX_DBG_TRACE_SCOPE_EXIT:  microphone_pump_base.cpp:113 MicrophonePumpBase::StartPump ... Done!
[153522]: 348ms SPX_DBG_TRACE_SCOPE_EXIT:  audio_stream_session.cpp:3056 StartAudioPump
[153522]: 348ms SPX_DBG_TRACE_SCOPE_EXIT:  audio_stream_session.cpp:1164 StartRecognizing
[153522]: 349ms SPX_DBG_TRACE_SCOPE_EXIT:  audio_stream_session.cpp:910 *** CSpxAudioStreamSession::RecognizeAsync kicked-off THREAD stopped ***
[153522]: 349ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:463 [0x7f8f5b82aa00]CSpxAudioStreamSession::SetFormat: format != nullptr
[153522]: 349ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:3444 [0x7f8f5b82aa00]CSpxAudioStreamSession::TryChangeState: recoKind/sessionState: 3/1 => 3/2
[153522]: 349ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:468 [0x7f8f5b82aa00]CSpxAudioStreamSession::SetFormat: Now ProcessingAudio ...
[153522]: 349ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:3257 InformAdapterSetFormatStarting
[153522]: 349ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:131 Created 'CSpxUspRecoEngineAdapterRetry' as '806006714'
[153522]: 349ms SPX_DBG_TRACE_SCOPE_ENTER:  usp_reco_engine_adapter_retry.cpp:19 InitDelegatePtr
[153522]: 349ms SPX_DBG_TRACE_SCOPE_ENTER:  usp_reco_engine_adapter.cpp:49 CSpxUspRecoEngineAdapter
[153522]: 349ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:50 CSpxUspRecoEngineAdapter: this=0x0x7f8f5cb0b010
[153522]: 349ms SPX_DBG_TRACE_SCOPE_EXIT:  usp_reco_engine_adapter.cpp:49 CSpxUspRecoEngineAdapter
[153522]: 349ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:131 Created 'CSpxUspRecoEngineAdapter' as '806006714'
[153522]: 349ms SPX_DBG_TRACE_SCOPE_ENTER:  usp_reco_engine_adapter.cpp:63 Init
[153522]: 349ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:64 Init: this=0x0x7f8f5cb0b010
[153522]: 349ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:478 ISpxNamedProperties::GetStringValue: this=0x0x007f8f5cb0b068; name='CARBON-INTERNAL-DumpAudioToDir'; value=''
[153522]: 349ms SPX_DBG_TRACE_SCOPE_EXIT:  usp_reco_engine_adapter.cpp:63 Init
[153522]: 349ms SPX_DBG_TRACE_SCOPE_EXIT:  usp_reco_engine_adapter_retry.cpp:19 InitDelegatePtr
[153522]: 349ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:115 SetAdapterMode: singleShot=1
[153522]: 350ms SPX_DBG_TRACE_SCOPE_ENTER:  usp_reco_engine_adapter.cpp:219 SetFormat
[153522]: 350ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:220 SetFormat: this=0x0x7f8f5cb0b010
[153522]: 350ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:231 SetFormat
  wFormatTag:      PCM
  nChannels:       1
  nSamplesPerSec:  16000
  nAvgBytesPerSec: 32000
  nBlockAlign:     2
  wBitsPerSample:  16
  cbSize:          0
[153522]: 350ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:2661 TryChangeState; audioState/uspState: 0/0 => 1/0 USP-START
[153522]: 350ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:253 SetFormat: (0x0x7f8f5cb0b010)->PrepareFirstAudioReadyState()
[153522]: 350ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:2828 ResetBeforeFirstAudio: this=0x0x7f8f5cb0b010 ... USP-RESET
